ORGAO;orgao_no;orgao_sg;nat_jur_orgao_co;nat_jur_orgao_no;orgao_vinc_co;orgao_vinc_no
91084;PETROBRAS - HOLDING;PETROBRAS;6;SOCIEDADE ECONOMIA  MISTA;32000;MINISTERIO DE MINAS E ENERGIA
91214;AUTORIDADE PUBLICA OLIMPICA;APO;9;AUTARQUIA ESPECIAL;29000;MINISTERIO DO ESPORTE
92012;EMPRESA GERENCIAL DE PROJETOS NAVAIS;EMGEPRON;5;EMPRESA PUBLICA;40105;MINISTERIO DA DEFESA
93120;GOVERNO DO ESTADO DO ACRE;ESTADO/AC;10;SERVICO PUBLICO ESTADUAL;93120;GOVERNO DO ESTADO DO ACRE
93220;GOVERNO DO ESTADO DO AMAPA;ESTADO/AP;10;SERVICO PUBLICO ESTADUAL;93220;GOVERNO DO ESTADO DO AMAPA
93320;GOVERNO DO ESTADO DO AMAZONAS;ESTADO/AM;10;SERVICO PUBLICO ESTADUAL;93320;GOVERNO DO ESTADO DO AMAZONAS
93420;GOVERNO DO ESTADO DO PARA;ESTADO/PA;10;SERVICO PUBLICO ESTADUAL;93420;GOVERNO DO ESTADO DO PARA
93520;GOVERNO DO ESTADO RONDONIA;ESTADO/RO;10;SERVICO PUBLICO ESTADUAL;93520;GOVERNO DO ESTADO RONDONIA
93620;GOVERNO DO ESTADO DE RORAIMA;ESTADO/RR;10;SERVICO PUBLICO ESTADUAL;93620;GOVERNO DO ESTADO DE RORAIMA
93720;GOVERNO DO ESTADO DE TOCANTINS;ESTADO/TO;10;SERVICO PUBLICO ESTADUAL;93720;GOVERNO DO ESTADO DE TOCANTINS
94220;GOVERNO DO ESTADO DO PIAUI;ESTADO/PI;10;SERVICO PUBLICO ESTADUAL;94220;GOVERNO DO ESTADO DO PIAUI
94320;GOVERNO DO ESTADO DO CEARA;ESTADO/CE;10;SERVICO PUBLICO ESTADUAL;94320;GOVERNO DO ESTADO DO CEARA
94420;GOVERNO DO ESTADO DO RIO GRANDE DO NORTE;ESTADO/RN;10;SERVICO PUBLICO ESTADUAL;94420;GOVERNO DO ESTADO DO RIO GRANDE DO NORTE
94520;GOVERNO DO ESTADO DA PARAIBA;ESTADO/PB;10;SERVICO PUBLICO ESTADUAL;94520;GOVERNO DO ESTADO DA PARAIBA
94620;GOVERNO DO ESTADO DE PERNAMBUCO;ESTADO/PE;10;SERVICO PUBLICO ESTADUAL;94620;GOVERNO DO ESTADO DE PERNAMBUCO
94720;GOVERNO DO ESTADO DE ALAGOAS;ESTADO/AL;10;SERVICO PUBLICO ESTADUAL;94720;GOVERNO DO ESTADO DE ALAGOAS
94820;GOVERNO DO ESTADO DE SERGIPE;ESTADO/SE;10;SERVICO PUBLICO ESTADUAL;94820;GOVERNO DO ESTADO DE SERGIPE
94920;GOVERNO DO ESTADO DA BAHIA;ESTADO/BA;10;SERVICO PUBLICO ESTADUAL;94920;GOVERNO DO ESTADO DA BAHIA
95120;GOVERNO DO ESTADO DE MINAS GERAIS;ESTADO/MG;10;SERVICO PUBLICO ESTADUAL;95120;GOVERNO DO ESTADO DE MINAS GERAIS
95220;GOVERNO DO ESTADO DO ESPIRITO SANTO;ESTADO/ES;10;SERVICO PUBLICO ESTADUAL;95220;GOVERNO DO ESTADO DO ESPIRITO SANTO
